ID,Series Name,Season,Title (Full),Language,Release Year,OTT Platform,Prequel ID,Sequel ID,Cover Image URL
1,Mirzapur,1,Mirzapur S1,Hindi,2018,Prime Video,–,2,https://i.postimg.cc/J4mDfq6C/season-1.avif
2,Mirzapur,2,Mirzapur S2,Hindi,2020,Prime Video,1,3,https://i.postimg.cc/J4sw-SP7L/p0q-M8hhl-MF5Dux-HBzl2EZR6Teh-X.webp
3,Mirzapur,3,Mirzapur S3,Hindi,2024,Prime Video,2,–,https://i.postimg.cc/cLfzNzVB/7CFdq8M9Zu-P1QRLa-BG2Exdcr-CBs.webp
4,Panchayat,1,Panchayat S1,Hindi,2020,Prime Video,–,5,https://i.postimg.cc/k46Yd95m/c-PPhdu-Qk1e-X0MAE2JDa-QRh3UZB5.webp
5,Panchayat,2,Panchayat S2,Hindi,2022,Prime Video,4,6,https://i.postimg.cc/FKW8PSt5/g-RKDEp-UPd2pp2msmwdg-EW34V0SL.webp
6,Panchayat,3,Panchayat S3,Hindi,2024,Prime Video,5,7,https://i.postimg.cc/3wV94F5M/wsgfe8Ymnt-J1u-VIk-Bj-Bd-Rd-Yp-Jy-N.webp
7,Panchayat,4,Panchayat S4,Hindi,2025,Prime Video,7,–,https://i.postimg.cc/SxwzcTR0/s-Gjq-P4l-KCcv-Tgappo-Ib0N0oj-R7T.webp
8,Asur,1,Asur S1,Hindi,2020,JioHotstar,–,9,https://i.postimg.cc/pdyjh243/images.jpg
9,Asur,2,Asur S2,Hindi,2023,JioHotstar,8,–,https://i.postimg.cc/PrysNhmC/AVODASURY2020S02E001HI-474x677-PST.jpg
